Modality,High SCZ gate (mean),High SCZ gate (std),Low SCZ gate (mean),Low SCZ gate (std),Difference,p_value
SUD18,0.49545357,2.9802322e-08,0.49545348,5.9604645e-08,8.940697e-08,1.0
SES,0.5091889,0.0,0.50918883,5.9604645e-08,5.9604645e-08,1.0
ADHD9,0.500465,5.9604645e-08,0.5004649,0.0,5.9604645e-08,1.0
ACE18,0.5006637,5.9604645e-08,0.5006637,5.9604645e-08,0.0,1.0
SCZ15,0.50076634,0.0,0.50076634,0.0,0.0,1.0
SEX,0.50015736,0.0,0.50015736,0.0,0.0,1.0
ASD9,0.5017256,0.0,0.5017256,0.0,0.0,1.0
PRS,0.4999688,2.9802322e-08,0.4999689,5.9604645e-08,-8.940697e-08,1.0
ACE15,0.49860165,2.9802322e-08,0.49860173,5.9604645e-08,-8.940697e-08,1.0
