Config;Layers;Val RMSE;Val R2;Test RMSE;Test R2;Test Spearman;Test Pearson
Optimal (per-modality);{'PRS': 1, 'SCZ15': 4, 'ADHD9': 2, 'ASD9': 1, 'ACE15': 1, 'ACE18': 2, 'SUD18': 2, 'SES': 2, 'SEX': 3};0.15355120724557786;0.21298420429229736;0.1550671809007731;0.20080024003982544;0.43543987909708126;0.48066774
Uniform (L=2);2;0.15044108076988716;0.24454277753829956;0.15310687497944928;0.2208789587020874;0.44880760485788923;0.48557764
