Config;Layers;Val RMSE;Val R2;Test RMSE;Test R2;Test Spearman;Test Pearson
Optimal (per-modality);{'PRS': 5, 'SCZ15': 2, 'ADHD9': 1, 'ASD9': 5, 'ACE15': 4, 'ACE18': 1, 'SUD18': 1, 'SES': 1, 'SEX': 5};0.08976356411021483;0.20377105474472046;0.08630584757316914;0.2618420124053955;0.4987605754608107;0.5198559
Uniform (L=3);3;0.08992915137320621;0.20083075761795044;0.08911859665581985;0.21294409036636353;0.4631188935139319;0.49028498
