Variable,Estimate,Std. Error,t value,p_value,significance
ASD9_difficulty_socialize9,0.0096,0.0099,0.963,0.336,
SUD15_Cannabis15:ACE15_other_bullying15,-0.0125,0.013,-0.962,0.336,
SCZ15_Unrealistic_abilities15,0.0075,0.0079,0.953,0.341,
SEX,-0.0135,0.0145,-0.933,0.351,
ACE18_other_abuse18,-0.118,0.1265,-0.932,0.351,
SUD15_Cigarettes15:SCZ15_Spied15,0.0029,0.0031,0.928,0.353,
PRS_Thalamic_excitatory,0.0161,0.0176,0.915,0.36,
SUD15_Painkillers_opioids15:ACE15_bullying_by_num15,-0.0046,0.0051,-0.905,0.365,
SUD15_Painkillers_opioids15:ADHD9_difficulty_organizing_tasks9,-0.0136,0.0152,-0.894,0.371,
ACE15_rumours_bullying15,0.0039,0.0044,0.892,0.373,
ACE15_other_bullying15,0.0033,0.0037,0.879,0.379,
SUD15_Painkillers_opioids15:SCZ15_Not_tired15,-0.0035,0.004,-0.878,0.38,
SUD15_Cannabis15:SEX,0.0132,0.015,0.876,0.381,
PRS_Hippocampal_CA1_3,-0.0182,0.0211,-0.862,0.389,
ACE15_bullying_by_num15,-0.0031,0.0036,-0.862,0.389,
ASD9_talk_too_high_low9,-0.0045,0.0052,-0.859,0.39,
SES_birth_country_mother,-0.0042,0.0049,-0.854,0.393,
SCZ15_PROD_seen_hallucinations9,0.0082,0.0101,0.816,0.414,
SUD15_OtherDrugs15:ADHD9_often_interrupt9,0.01,0.0124,0.806,0.42,
SUD15_Cigarettes15:ADHD9_difficulty_calm9,-0.0069,0.0088,-0.782,0.434,
SUD15_OtherDrugs15:ACE15_bullying_time15,0.0031,0.0039,0.773,0.439,
SUD15_Snuff15,0.0165,0.0215,0.767,0.443,
SCZ15_Sexual_inappropriate15,-0.0309,0.0404,-0.765,0.444,
ASD9_dislike_change9,0.0039,0.0051,0.763,0.446,
ACE15_tease_bullying15,0.0032,0.0042,0.755,0.45,
SUD15_Painkillers_opioids15:SCZ15_Hear_voices15,-0.0061,0.0081,-0.755,0.45,
