Modality,High SCZ gate (mean),High SCZ gate (std),Low SCZ gate (mean),Low SCZ gate (std),Difference,p_value
Independent stream,0.49266338,0.0018761518,0.49151164,0.0012017626,0.0011517406,4.64662e-14
Fused stream,0.5047703,0.00085791515,0.50408494,0.00051918085,0.0006853342,4.9681403e-24
