Modality,High SCZ gate (mean),High SCZ gate (std),Low SCZ gate (mean),Low SCZ gate (std),Difference,p_value
ASD9,0.49999392,2.9802322e-08,0.4999939,5.9604645e-08,2.9802322e-08,1.0
ACE18,0.50126517,0.0,0.50126517,0.0,0.0,1.0
SCZ15,0.50062937,5.9604645e-08,0.50062937,5.9604645e-08,0.0,1.0
ADHD9,0.5000781,5.9604645e-08,0.5000781,5.9604645e-08,0.0,1.0
ACE15,0.5006269,0.0,0.5006269,0.0,0.0,1.0
SEX,0.5024543,5.9604645e-08,0.5024543,5.9604645e-08,0.0,1.0
SUD18,0.4999983,5.9604645e-08,0.4999983,5.9604645e-08,0.0,1.0
SES,0.4997284,0.0,0.49972844,2.9802322e-08,-2.9802322e-08,1.0
PRS,0.49998736,0.0,0.49998748,1.1920929e-07,-1.1920929e-07,1.0
