Modality,Mean gate,Across-seed std,N seeds
ACE18,0.50571835,0.0040838034,5
SCZ15,0.5003587,0.00013436702,5
ACE15,0.50032604,0.00085646985,5
SEX,0.5002238,0.00214568,5
ADHD9,0.50015706,0.00020696466,5
ASD9,0.5000768,0.00010533594,5
SES,0.5000766,0.0033846553,5
PRS,0.5000241,3.2207077e-05,5
SUD18,0.49927345,0.0014425977,5
