modality,modality_idx,depth,val_rmse_mean,val_rmse_std,val_r2_mean,val_r2_std,val_spearman_mean,val_spearman_std,val_pearson_mean,val_pearson_std
PRS,0,1,0.08836087720553255,0.001996704293508283,0.21435381174087526,0.035831339022990245,0.4608997429455197,0.04280187973993606,0.4765306,0.031785697
PRS,0,2,0.08815050323697923,0.0023525684522844328,0.21827976703643798,0.035081338586205026,0.46466129071596873,0.03893203460541508,0.48008603,0.025238106
PRS,0,3,0.08851135957219583,0.0016524775603337077,0.21174591779708862,0.03118948803264552,0.45787976133076647,0.03645976168393335,0.47297066,0.025311995
PRS,0,4,0.08838140453066846,0.0016153974802890375,0.21398441791534423,0.032587450252283885,0.4526363157015988,0.04145601989338389,0.4739541,0.026606848
PRS,0,5,0.08869833670851976,0.0015665694283964232,0.20753473043441772,0.04860725259067416,0.44440034542136714,0.05348116068489953,0.46567065,0.04299214
SCZ15,1,1,0.08800392699142931,0.0019750275843655207,0.22057931423187255,0.03820342650862729,0.46109000453816734,0.039189798912443945,0.48067492,0.029211272
SCZ15,1,2,0.0879242698489485,0.0013607664367674033,0.22197259664535524,0.03355559384125196,0.4651817073928154,0.0407220658035863,0.48016185,0.028490078
SCZ15,1,3,0.08851135957219583,0.0016524775603337077,0.21174591779708862,0.03118948803264552,0.45787976133076647,0.03645976168393335,0.47297066,0.025311995
SCZ15,1,4,0.08799871802864426,0.0015390599758597797,0.22092355489730836,0.027952740507477918,0.4616122960458792,0.0338318618864915,0.4829362,0.02417295
SCZ15,1,5,0.08839564132664554,0.0016322229971831113,0.21404554843902587,0.02394837966625269,0.46159164612071335,0.03145402718179862,0.47679156,0.019243838
ADHD9,2,1,0.08822068619751564,0.0018265633745351898,0.2165266156196594,0.04149539928925564,0.4575770114622152,0.05129355064774356,0.47779235,0.033523474
ADHD9,2,2,0.08839095847635789,0.0023012003950152347,0.2142326593399048,0.02884355735671117,0.4537506213586512,0.03335615268774792,0.47551268,0.025130175
ADHD9,2,3,0.08851135957219583,0.0016524775603337077,0.21174591779708862,0.03118948803264552,0.45787976133076647,0.03645976168393335,0.47297066,0.025311995
