modality,modality_idx,depth,val_rmse_mean,val_rmse_std,val_r2_mean,val_r2_std,val_spearman_mean,val_spearman_std,val_pearson_mean,val_pearson_std
PRS,0,1,0.15256918114453,0.004464873608210125,0.21713900566101074,0.03901325648424142,0.4554006990050202,0.040901376569591176,0.47949114,0.03759381
PRS,0,2,0.1532018086936453,0.003747111106450666,0.2105496883392334,0.037039267453271144,0.4542011290551817,0.033058884100183525,0.4794057,0.030169306
PRS,0,3,0.15318096093398248,0.0030868724681909396,0.2110913634300232,0.024942734967854017,0.4540119419126751,0.03408205149247548,0.48186898,0.023998527
PRS,0,4,0.1537175108072428,0.003385872588873018,0.2055092930793762,0.028322437838801725,0.4502753869692784,0.04008932360222752,0.4775938,0.03298702
PRS,0,5,0.1524906316479755,0.0035498207354414516,0.21800680160522462,0.03241823073788577,0.45822857808011175,0.03929792965775134,0.48450765,0.029750178
SCZ15,1,1,0.15410421944416935,0.0036342538427983073,0.20143066644668578,0.031966679459300165,0.447521475675423,0.03533697455374748,0.47355288,0.02505892
SCZ15,1,2,0.1532018086936453,0.003747111106450666,0.2105496883392334,0.037039267453271144,0.4542011290551817,0.033058884100183525,0.4794057,0.030169306
SCZ15,1,3,0.15304820873913988,0.0029064275922800202,0.2125062108039856,0.022127351790784993,0.45511118275669427,0.03467948458333898,0.48389846,0.029719068
SCZ15,1,4,0.15309585142961848,0.0035545776934473956,0.21184720993041992,0.031207269466011236,0.45726436570734574,0.03377189530660423,0.48436418,0.026338408
SCZ15,1,5,0.15419280047947106,0.0036334459462208195,0.20023292303085327,0.0384899598361863,0.45121434069338273,0.039765528310757706,0.47881365,0.038840137
ADHD9,2,1,0.15260522469914864,0.00348398594165374,0.21708039045333863,0.02534251525134791,0.4492047972021814,0.031509579361576036,0.48085356,0.025040707
ADHD9,2,2,0.1532018086936453,0.003747111106450666,0.2105496883392334,0.037039267453271144,0.4542011290551817,0.033058884100183525,0.4794057,0.030169306
ADHD9,2,3,0.15285410791773907,0.002765071040206094,0.21453475952148438,0.019920630613297033,0.4580565061352992,0.030427617521323697,0.48204613,0.027580744
ADHD9,2,4,0.15465657242096467,0.0033237174318923096,0.19549564123153687,0.0351186313994409,0.45423119230643333,0.03443614086610857,0.48061132,0.028221779
ADHD9,2,5,0.15350510883058494,0.0028688813713773115,0.20739017724990844,0.03385043519376082,0.4556831508496907,0.03400984339359341,0.4823225,0.026377602
ASD9,3,1,0.15264132587823098,0.004224372571648909,0.2164794921875,0.03607011621593947,0.4501024037090223,0.03772946726782769,0.47934684,0.0327214
ASD9,3,2,0.1532018086936453,0.003747111106450666,0.2105496883392334,0.037039267453271144,0.4542011290551817,0.033058884100183525,0.4794057,0.030169306
ASD9,3,3,0.15324251956678495,0.002957568703903495,0.21013414859771729,0.033276023102672594,0.45499354123963326,0.031091656292193848,0.48256454,0.024901772
ASD9,3,4,0.15381344801618252,0.0030971663816819674,0.20449771881103515,0.027000322632249975,0.4515370678007217,0.03578586323528946,0.48233333,0.025937151
ASD9,3,5,0.15382775347491823,0.0035949553023616556,0.2041090965270996,0.03600096842423709,0.4547217629409571,0.029541936440950742,0.48005646,0.026656333
ACE15,4,1,0.15333165132931098,0.00327522290894225,0.20945011377334594,0.028760635375048527,0.4506512924016399,0.03781194472483213,0.47706336,0.0287204
ACE15,4,2,0.1532018086936453,0.003747111106450666,0.2105496883392334,0.037039267453271144,0.4542011290551817,0.033058884100183525,0.4794057,0.030169306
ACE15,4,3,0.15416691853308595,0.0030331069641301232,0.2011966109275818,0.012549457935655008,0.45712370630336857,0.030402690821395646,0.4817984,0.021500586
ACE15,4,4,0.15385080546175547,0.004531413108094247,0.20333633422851563,0.050739303320421696,0.4515612045873395,0.0360711526277418,0.47617736,0.036001943
