Modality,High SCZ gate (mean),High SCZ gate (std),Low SCZ gate (mean),Low SCZ gate (std),Difference,p_value
PRS,0.5000663,5.9604645e-08,0.5000662,1.1920929e-07,5.9604645e-08,1.0
SES,0.5016528,5.9604645e-08,0.5016527,1.1920929e-07,5.9604645e-08,1.0
ACE18,0.50092024,0.0,0.5009202,5.9604645e-08,5.9604645e-08,1.0
ACE15,0.5010643,5.9604645e-08,0.5010643,5.9604645e-08,0.0,1.0
ASD9,0.5003472,0.0,0.5003472,0.0,0.0,1.0
SUD18,0.499494,0.0,0.499494,0.0,0.0,1.0
SEX,0.4994735,5.9604645e-08,0.4994735,5.9604645e-08,0.0,1.0
SCZ15,0.503014,5.9604645e-08,0.5030141,0.0,-5.9604645e-08,1.0
ADHD9,0.5003189,5.9604645e-08,0.50031894,1.1920929e-07,-5.9604645e-08,1.0
