Modality,High SCZ gate (mean),High SCZ gate (std),Low SCZ gate (mean),Low SCZ gate (std),Difference,p_value
ACE18,0.5104612,5.0666757e-05,0.51043856,4.1625797e-05,2.2649765e-05,4.733635e-08
SES,0.5045982,1.9500781e-05,0.5045885,1.5378513e-05,9.715557e-06,2.5411562e-09
SCZ15,0.50309336,1.0555221e-05,0.5030878,8.532161e-06,5.543232e-06,4.111839e-10
ADHD9,0.5007178,1.7375219e-06,0.5007169,1.3097857e-06,8.940697e-07,4.774129e-10
PRS,0.5007451,1.7235751e-06,0.5007444,1.4100357e-06,7.1525574e-07,3.1247573e-08
SUD18,0.50347245,2.3952798e-06,0.50347185,2.099181e-06,5.9604645e-07,0.00086438644
ACE15,0.4996949,1.3546143e-06,0.49969438,1.0456852e-06,5.364418e-07,5.5417106e-09
ASD9,0.5007005,7.331953e-07,0.5007001,6.1316564e-07,3.5762787e-07,6.471511e-08
SEX,0.5026826,4.956433e-06,0.5026823,4.252024e-06,2.9802322e-07,0.06669511
