Modality,High SCZ gate (mean),High SCZ gate (std),Low SCZ gate (mean),Low SCZ gate (std),Difference,p_value
Fused stream,0.5071859,0.0015093138,0.50572807,0.0010190681,0.0014578104,2.4105054e-32
Independent stream,0.48923203,0.0021977993,0.4897937,0.0012681993,-0.00056165457,0.0025066426
