Variable,Estimate,Std. Error,t value,p_value,significance
SUD15_Alcohol15:ADHD9_often_forgetful9,0.001,0.0075,0.136,0.892,
SCZ15_Not_tired15,5e-4,0.0039,0.131,0.896,
ACE15_rumours_bullying15,8e-4,0.0076,0.109,0.913,
ACE15_bullied_often15,-8e-4,0.0073,-0.107,0.914,
SUD15_Cigarettes15:ADHD9_often_lose_things9,-9e-4,0.0086,-0.099,0.921,
ACE18_other_abuse18,-0.0193,0.2199,-0.088,0.93,
ADHD9_often_lose_things9,6e-4,0.0075,0.085,0.932,
ACE15_tease_bullying15,6e-4,0.0074,0.084,0.933,
SUD15_Cigarettes15:ACE15_bullied_often15,-5e-4,0.0066,-0.081,0.936,
SCZ15_PROD_seen_hallucinations9,0.0014,0.0176,0.078,0.938,
SUD15_Alcohol15,0.0013,0.0237,0.056,0.955,
SUD15_Snuff15:PRS_Hippocampal_CA4,-0.0024,0.0519,-0.047,0.963,
SUD15_Painkillers_opioids15:PRS_Deep_layer_intratelencepha,-0.0011,0.0578,-0.018,0.985,
SUD15_Cannabis15:ASD9_difficulty_pretend_play9,0,0,NA,NA,NA
