Variable,Estimate,Std. Error,t value,p_value,significance
SCZ15_worry15,-3e-4,0.0029,-0.113,0.91,
ASD9_absorbed_problems9,-0.001,0.0101,-0.096,0.923,
ADHD9_difficulty_calm9,-9e-4,0.0093,-0.094,0.925,
ASD9_difficulty_expect_behavior9,-8e-4,0.0103,-0.08,0.936,
SUD15_Painkillers_opioids15:SES_birth_country_mother,-9e-4,0.0107,-0.08,0.937,
ADHD9_often_motor9,-5e-4,0.0073,-0.071,0.943,
ADHD9_often_run9,3e-4,0.0055,0.053,0.958,
SUD15_Snuff15:ADHD9_easily_distracted9,-4e-4,0.0079,-0.05,0.96,
SUD15_Cigarettes15:PRS_Hippocampal_CA1_3,0.0011,0.0232,0.048,0.962,
SUD15_Cannabis15:SCZ15_Rage_attacks15,3e-4,0.0091,0.037,0.971,
ADHD9_difficulty_with_attention9,-2e-4,0.0057,-0.033,0.974,
SUD15_Alcohol15:PRS_Hippocampal_dentate_gyrus,1e-4,0.0163,0.008,0.994,
SUD15_Cannabis15:ASD9_difficulty_pretend_play9,0,0,NA,NA,NA
