number,value,datetime_start,datetime_complete,duration,params_base_loss,params_batch_size,params_dropout,params_early_stopping_patience,params_focal_gamma,params_hidden_dim_min,params_huber_delta,params_layers_ACE15,params_layers_ACE18,params_layers_ADHD9,params_layers_ASD9,params_layers_PRS,params_layers_SCZ15,params_layers_SES,params_layers_SEX,params_layers_SUD18,params_learning_rate,params_n_bins,params_num_epochs,params_scheduler_factor,params_scheduler_patience,params_se_reduction,params_weight_decay,state
19,0.09082131231434451,2026-04-29 00:24:10.235891,2026-04-29 00:25:27.863347,0 days 00:01:17.627456,huber,4,0.45372833382707006,5,0.9097529282505616,9,0.11939006064010645,3,1,1,4,3,4,3,2,2,0.0001473218930049893,7,20,0.47971563367272374,3,3,2.8430562087997475e-05,COMPLETE
20,0.09037435931754256,2026-04-29 00:25:27.864183,2026-04-29 00:27:16.995974,0 days 00:01:49.131791,huber,4,0.3973426873489929,6,1.2281751844769768,5,0.011900875570463905,5,3,2,5,3,2,5,1,3,0.00017147052544375872,11,12,0.5271482697753108,2,4,0.004586936994996487,COMPLETE
21,0.08942539834842149,2026-04-29 00:27:16.996789,2026-04-29 00:29:19.044891,0 days 00:02:02.048102,huber,4,0.4775588551061644,6,0.7160605222949601,11,0.030949661074543017,4,1,1,5,2,3,5,1,2,0.002163393890681841,8,15,0.5366306216849842,2,2,9.800382502421917e-05,COMPLETE
22,0.08893829163026779,2026-04-29 00:29:19.045713,2026-04-29 00:31:01.298723,0 days 00:01:42.253010,huber,4,0.4533534984247262,7,0.5199827372579041,11,0.068873188592907,4,1,1,5,2,3,4,1,2,0.0013336646081865892,9,16,0.5937022429525435,2,2,9.552851073037673e-05,COMPLETE
23,0.09987213968387347,2026-04-29 00:31:01.299555,2026-04-29 00:31:48.122873,0 days 00:00:46.823318,huber,4,0.45578880601477667,7,0.8710759243153419,10,0.06756201716948598,4,2,1,4,1,4,4,2,1,1.0801129278330202e-05,10,17,0.6922262804655099,3,2,0.00024731259105024116,PRUNED
24,0.08843051078225092,2026-04-29 00:31:48.123616,2026-04-29 00:33:36.556913,0 days 00:01:48.433297,huber,4,0.3365472474792071,7,0.6157598292018587,12,0.04845073097970327,3,1,2,5,2,3,4,1,2,0.0009950246910973121,20,19,0.6065531415699572,2,3,4.9682014011934153e-05,COMPLETE
25,0.09652846483440426,2026-04-29 00:33:36.557731,2026-04-29 00:33:49.682828,0 days 00:00:13.125097,huber,16,0.30936271353799166,5,1.0036009432850896,13,0.04731262288715446,3,2,2,4,2,3,5,2,1,0.0008982982623831203,20,20,0.5966656405749731,2,3,4.89174904166044e-05,PRUNED
26,0.08909424395944442,2026-04-29 00:33:49.683602,2026-04-29 00:37:06.079759,0 days 00:03:16.396157,huber,4,0.24542763960362035,7,1.6284531819501606,12,0.02871105856202978,3,1,2,5,3,3,4,3,4,0.003797917225726028,20,22,0.46711925686489203,3,4,2.4969605839179857e-05,COMPLETE
27,0.11560451738546443,2026-04-29 00:37:06.080560,2026-04-29 00:37:12.693982,0 days 00:00:06.613422,huber,32,0.3515107669621812,6,0.6676735828944835,8,0.010639533763785658,2,5,3,1,1,2,5,1,2,0.00023466236431446373,17,18,0.5237795397806783,2,3,0.009759612334867735,PRUNED
28,0.08961453950062712,2026-04-29 00:37:12.694735,2026-04-29 00:38:02.452886,0 days 00:00:49.758151,huber,8,0.3477100715723086,7,0.8438819788792014,14,0.08296133192152118,3,2,3,3,2,4,3,3,3,0.0006085507732147695,14,19,0.5946612373799054,3,2,6.3290116827269e-05,COMPLETE
