number,value,datetime_start,datetime_complete,duration,params_base_loss,params_batch_size,params_dropout,params_early_stopping_patience,params_focal_gamma,params_hidden_dim_min,params_huber_delta,params_layers_ACE15,params_layers_ACE18,params_layers_ADHD9,params_layers_ASD9,params_layers_PRS,params_layers_SCZ15,params_layers_SES,params_layers_SEX,params_layers_SUD18,params_learning_rate,params_n_bins,params_num_epochs,params_scheduler_factor,params_scheduler_patience,params_se_reduction,params_weight_decay,state
19,0.1511849136545273,2026-04-29 01:22:28.131253,2026-04-29 01:23:09.393431,0 days 00:00:41.262178,huber,8,0.21409792469862934,4,1.6063650972322328,4,0.18588774476156003,5,4,3,1,3,4,3,4,1,0.001020337985567293,13,28,0.35062398845955267,3,4,0.003186565416783087,COMPLETE
20,0.15113336284475132,2026-04-29 01:23:09.394269,2026-04-29 01:23:16.907974,0 days 00:00:07.513705,huber,16,0.1487334366850342,3,2.921762475382166,11,0.1518638512384564,2,1,5,4,2,2,1,1,2,0.0038176955604905262,20,13,0.524098807488596,2,8,0.0002299848065096313,COMPLETE
21,0.15179096090641536,2026-04-29 01:23:16.908803,2026-04-29 01:23:30.021220,0 days 00:00:13.112417,huber,16,0.15439611070571296,3,2.90886103411262,11,0.15816854875715633,2,1,5,4,2,2,1,1,2,0.003785542187847662,20,14,0.5194381444513866,2,8,0.000278308842121026,COMPLETE
22,0.16812231008512044,2026-04-29 01:23:30.022035,2026-04-29 01:23:38.225077,0 days 00:00:08.203042,huber,16,0.27155148200048884,3,2.516974314261986,13,0.1848853833762156,2,1,5,4,2,3,1,1,3,0.005186762371377667,18,12,0.5807909190893125,2,7,0.0007400976186256623,COMPLETE
23,0.15479794759273838,2026-04-29 01:23:38.225905,2026-04-29 01:23:58.263473,0 days 00:00:20.037568,huber,16,0.14742627240374206,4,1.9111535674892792,8,0.16277520025752543,2,2,4,4,3,1,2,3,2,0.009466973039288604,11,14,0.4096304938730577,2,8,0.00012808535842444844,COMPLETE
24,0.15235456403840184,2026-04-29 01:23:58.264298,2026-04-29 01:24:29.263983,0 days 00:00:30.999685,huber,6,0.22182160052212416,5,0.7413560449067722,10,0.1348059007841363,4,1,5,2,1,2,1,2,1,0.0018129885130266764,13,22,0.49227367846514614,3,7,3.648900957230211e-05,COMPLETE
25,0.1808421211169318,2026-04-29 01:24:29.264815,2026-04-29 01:24:43.859313,0 days 00:00:14.594498,huber,16,0.1723203290335609,3,1.9263824694468927,7,0.19069302277187594,5,3,4,3,2,3,2,4,3,0.00018193969942829303,16,27,0.33155999055934393,2,6,0.00027657230316523217,PRUNED
26,0.1506098660210636,2026-04-29 01:24:43.860069,2026-04-29 01:25:41.879437,0 days 00:00:58.019368,huber,4,0.1271065958631703,4,2.535031077920636,10,0.14389630205431547,2,2,5,1,3,2,3,3,2,0.0008558429375665869,9,16,0.5915430328473807,3,8,0.0004969988019890974,COMPLETE
27,0.14999227280383107,2026-04-29 01:25:41.880263,2026-04-29 01:26:46.227596,0 days 00:01:04.347333,huber,4,0.205946785772642,5,2.4502067013402384,8,0.17036166390537008,4,2,4,1,3,1,3,3,2,0.0007677074314082148,9,17,0.5939466952523744,4,7,0.00046927837658842733,COMPLETE
28,0.14981324346745398,2026-04-29 01:26:46.228436,2026-04-29 01:27:52.000590,0 days 00:01:05.772154,huber,4,0.12329811471683184,5,2.463284240030438,9,0.12928023517728876,4,3,3,1,3,1,3,3,3,0.0007927564146938293,8,17,0.5964095976848293,4,7,0.0009556988566187702,COMPLETE
