Modality,Mean gate,Across-seed std,N seeds
ACE18,0.5407085,0.018897476,5
SEX,0.5310591,0.05538292,5
SCZ15,0.5086213,0.011647023,5
batch*PC,0.5032619,0.0017515911,5
ASD9,0.50015616,0.006406997,5
PRS,0.49569678,0.0064107864,5
ADHD9,0.48880062,0.0050441325,5
ACE15,0.48145804,0.020206219,5
SUD15,0.4803906,0.0074881976,5
SUD18,0.48027414,0.022500196,5
SES,0.46156892,0.011963838,5
