Modality,Mean gate,Across-seed std,N seeds
ACE18,0.55449873,0.018410545,5
batch*PC,0.50421834,0.0035136908,5
PRS,0.5034708,0.0050090714,5
ADHD9,0.49949163,0.018968625,5
SCZ15,0.49865666,0.018605392,5
ASD9,0.49454743,0.0059102885,5
ACE15,0.4879121,0.015359332,5
SUD18,0.48622838,0.04997268,5
SES,0.4740358,0.04531945,5
SUD15,0.47382894,0.03194175,5
SEX,0.4577303,0.028538238,5
