Variable,Estimate_mean,Estimate_std,StdError_mean,t_value_mean,p_value_mean,p_value_median,p_value_min,p_value_max,n_significant,n_seeds_present,pct_significant,significance
PRS_Hippocampal_dentate_gyrus,0.0249,0.0316,0.0605,0.418,0.717,0.845,0.1918743585219207,0.9788324382054887,0,5,0,
ACE15_bullied_often15,-0.0016,8e-4,0.0043,-0.367,0.717,0.711,0.5993034234684775,0.9419501064424893,0,5,0,
ASD9_difficulty_expect_behavior9,-0.004,0.0068,0.01,-0.412,0.724,0.913,0.09977206079751832,0.9350816547989456,0,5,0,
SUD15_OtherDrugs15:ASD9_easily_influenced9,0.0014,0.0069,0.0096,0.105,0.727,0.827,0.21272165686895628,0.9931265628373724,0,5,0,
ADHD9_often_move9,-0.001,0.0028,0.0061,-0.162,0.73,0.758,0.4675085917491961,0.941329226263947,0,5,0,
ADHD9_difficulty_with_attention9,9e-4,0.0031,0.0057,0.154,0.74,0.801,0.30009635036937143,0.9927383411200454,0,5,0,
SUD15_Snuff15:PRS_Cerebellar_inhibitory,0.0108,0.0138,0.0324,0.332,0.748,0.779,0.29439149857673264,0.9634698949529117,0,5,0,
SUD15_OtherDrugs15:SCZ15_Read_others_minds15,0.0016,0.0028,0.0064,0.253,0.757,0.908,0.44961795590513454,0.9885417033481891,0,5,0,
PRS_Cerebellar_inhibitory,-0.0041,0.0063,0.0181,-0.228,0.759,0.827,0.5219595424078576,0.9659717431892485,0,5,0,
SUD15_Alcohol15:PRS_Hippocampal_dentate_gyrus,-0.0047,0.0086,0.0165,-0.293,0.763,0.899,0.23646272379564515,0.9912490014842219,0,5,0,
ADHD9_talk_excess9,9e-4,0.0037,0.0115,0.08,0.771,0.794,0.6664771655951234,0.8356100531667838,0,5,0,
ADHD9_difficulty_calm9,0.0015,0.0036,0.0093,0.162,0.775,0.785,0.47030264264120447,0.9518636346805498,0,5,0,
SUD15_Alcohol15:ACE18_hate_crime18,7e-4,0.0036,0.0099,0.062,0.777,0.73,0.5999528590379524,0.9950406853037919,0,5,0,
SUD15_Painkillers_opioids15:ASD9_talk_too_high_low9,0.0024,0.0038,0.0137,0.165,0.791,0.828,0.5878729563749143,0.8830767246182472,0,5,0,
SES_birth_country_mother,-0.0013,0.0017,0.0049,-0.274,0.791,0.878,0.39321532659373926,0.9849243967802799,0,5,0,
SUD15_Cigarettes15,0.0031,0.0043,0.0153,0.196,0.796,0.842,0.5561481557639865,0.9021194882038102,0,5,0,
SUD15_OtherDrugs15:SCZ15_Too_much_energy15,1e-4,0.001,0.006,0.01,0.914,0.939,0.7960617581951723,0.9988736612221061,0,5,0,
