Variable,Estimate_mean,Estimate_std,StdError_mean,t_value_mean,p_value_mean,p_value_median,p_value_min,p_value_max,n_significant,n_seeds_present,pct_significant,significance
SUD15_Snuff15:PRS_Cerebellar_inhibitory,0.0217,0.0327,0.0563,0.384,0.527,0.53,0.40400599835372697,0.5961448526510442,0,5,0,
SUD15_OtherDrugs15:SES_education_mother,0.0018,0.0069,0.0096,0.181,0.529,0.462,0.3991492703787487,0.688997287075749,0,5,0,
SUD15_OtherDrugs15:ASD9_easily_influenced9,-0.0056,0.0114,0.0166,-0.303,0.531,0.58,0.34352921683138793,0.7525891432643925,0,5,0,
PRS_MGE_interneuron,-0.0215,0.0129,0.0326,-0.662,0.533,0.48,0.24759767138787625,0.9463388189188708,0,5,0,
SUD15_Painkillers_opioids15:ASD9_difficulty_expect_behavior9,0.0173,0.0219,0.0315,0.458,0.533,0.627,0.30062101285273357,0.7116804147537792,0,5,0,
SUD15_Cigarettes15:SEX,0.0016,0.009,0.0111,0.142,0.546,0.503,0.20936404384629803,0.8336306860277127,0,5,0,
SUD15_Painkillers_opioids15:SCZ15_Under_control_special_power15,-0.0041,0.0054,0.0104,-0.387,0.55,0.537,0.48690143559140964,0.6156692288818062,0,5,0,
ACE15_rumours_bullying15,0.0053,0.0048,0.0076,0.693,0.55,0.435,0.11185549089819569,0.9353103029140872,0,5,0,
ASD9_easily_influenced9,0.0011,0.0049,0.0067,0.164,0.557,0.567,0.26138260343173814,0.8200519604645091,0,5,0,
ADHD9_difficulty_with_attention9,0.004,0.0063,0.0099,0.411,0.558,0.439,0.3202241110532347,0.9945784673035791,0,5,0,
SUD15_Cigarettes15:ADHD9_easily_bored9,0.0065,0.0073,0.0081,0.784,0.559,0.634,0.021860026535007293,0.9606099525121077,1,5,20,
SUD15_Painkillers_opioids15,-0.0444,0.1607,0.2246,-0.03,0.559,0.457,0.41259597229545086,0.8253545861690648,0,5,0,
ACE15_bullying_time15,0.0024,0.0021,0.0042,0.568,0.559,0.55,0.20251782290788523,0.8854144180122301,0,5,0,
SUD15_Painkillers_opioids15:SCZ15_Not_tired15,-0.004,0.0023,0.0066,-0.615,0.562,0.605,0.21630718304977448,0.738978942842722,0,5,0,
SUD15_Snuff15:PRS_Hippocampal_CA4,0.0256,0.0257,0.0479,0.561,0.569,0.386,0.3079846501106731,0.9443821817531277,0,5,0,
SCZ15_Racing_thoughts15,-8e-4,0.0039,0.0051,-0.156,0.57,0.518,0.2510563527721412,0.913714821109282,0,5,0,
ASD9_difficulty_expect_behavior9,0.01,0.0047,0.0173,0.574,0.577,0.657,0.3666306435501121,0.7450332615480979,0,5,0,
SUD15_OtherDrugs15:ADHD9_often_interrupt9,0.0108,0.0165,0.0216,0.442,0.578,0.676,0.20311085477215052,0.9288643826628964,0,5,0,
ADHD9_talk_excess9,0.0117,0.0085,0.0198,0.598,0.581,0.704,0.25936121276377033,0.9136802576441074,0,5,0,
SCZ15_Talking_fast15,-1e-4,0.0039,0.0045,-0.032,0.581,0.635,0.1439212093390534,0.9090067225683294,0,5,0,
SUD15_Cannabis15:ACE15_rumours_bullying15,-0.0107,0.0039,0.0191,-0.561,0.582,0.586,0.36891256087380064,0.7256167122788297,0,5,0,
SUD15_Cigarettes15:ASD9_difficulty_express9,0.0169,0.0381,0.0578,0.319,0.594,0.692,0.23184691274658542,0.7910682239198974,0,5,0,
SUD15_Cannabis15:ACE15_other_bullying15,-0.0098,0.011,0.0232,-0.425,0.594,0.587,0.31623086211862605,0.7895200393239836,0,5,0,
PRS_Hippocampal_CA1_3,-0.0154,0.0146,0.036,-0.427,0.596,0.519,0.4858207572958728,0.7832514764843588,0,5,0,
PRS_CGE_interneuron,-0.0545,0.019,0.1021,-0.533,0.599,0.564,0.44241559579316103,0.7666068705265876,0,5,0,
factor(batch)PSYC:PC1,0.1145,0.1096,0.2585,0.444,0.6,0.666,0.41435826387284913,0.8123552747124316,0,5,0,
SUD15_Snuff15:SCZ15_unhappy15,-0.0063,0.0046,0.0113,-0.549,0.605,0.515,0.3140989053957073,0.9953268233549732,0,5,0,
ACE18_other_abuse18,0.0798,0.1057,0.2059,0.426,0.605,0.48,0.3240815992043298,0.9781248990882756,0,5,0,
