Variable,Estimate_mean,Estimate_std,StdError_mean,t_value_mean,p_value_mean,p_value_median,p_value_min,p_value_max,n_significant,n_seeds_present,pct_significant,significance
SUD15_Cigarettes15:ACE15_bullied_often15,0.0019,0.0026,0.0062,0.328,0.753,0.946,0.3777449504819925,0.9916134238213672,0,5,0,
SUD15_Cannabis15:ASD9_own_terms9,-0.0128,0.0129,0.0398,-0.314,0.764,0.857,0.39204058035493694,0.9942547313239543,0,5,0,
SUD15_Cannabis15:SCZ15_Special_powers15,-0.0055,0.0136,0.0364,-0.141,0.765,0.812,0.6078599948648216,0.884011819511132,0,5,0,
SUD15_Alcohol15:ADHD9_often_forgetful9,0.0021,0.0019,0.0074,0.286,0.781,0.812,0.5420361698467822,0.9696553553156029,0,5,0,
PRS_Amygdala_excitatory,0.0017,0.0129,0.035,0.049,0.783,0.843,0.5847858030684558,0.9375598606356701,0,5,0,
SUD15_Cannabis15,0.0143,0.0193,0.0661,0.228,0.785,0.85,0.5475920548468742,0.9479975220993588,0,5,0,
SUD15_Cannabis15:ASD9_absorbed_details9,0.0107,0.0106,0.0395,0.269,0.788,0.814,0.5524835091094475,0.9841566561259127,0,5,0,
PRS_Hippocampal_dentate_gyrus,-0.0076,0.0288,0.1048,-0.069,0.825,0.79,0.717234339921514,0.9605984578146671,0,5,0,
ADHD9_often_forgetful9,0.0053,0.0048,0.0267,0.195,0.834,0.831,0.688654492386775,0.9664225263620563,0,5,0,
SUD15_Cannabis15:SCZ15_Rage_attacks15,-0.0026,0.0041,0.0159,-0.145,0.838,0.905,0.6714932601196111,0.9724521847706102,0,5,0,
SUD15_Alcohol15:PRS_Hippocampal_dentate_gyrus,-2e-4,0.0063,0.0285,-0.009,0.863,0.86,0.7830336729131075,0.9923742633238617,0,5,0,
SUD15_Painkillers_opioids15:PRS_Deep_layer_intratelencepha,0.0024,0.0146,0.0566,0.048,0.878,0.949,0.6227159195185208,0.9918442732066404,0,5,0,
