Config,Layers,test_rmse_mean,test_rmse_std,test_r2_mean,test_r2_std,test_spearman_rho_mean,test_spearman_rho_std,test_pearson_r_mean,test_pearson_r_std
Optimal (per-modality),"{'PRS': 5, 'SCZ15': 3, 'ADHD9': 1, 'ASD9': 1, 'ACE15': 2, 'ACE18': 1, 'SUD18': 1, 'SES': 1, 'SEX': 3}",0.1569019914366856,0.0014013972186437895,0.19146885871887206,0.026776982964920537,0.43482954040418187,0.02558305402382631,0.45212245,0.023780659
Uniform (L=2),"{'PRS': 2, 'SCZ15': 2, 'ADHD9': 2, 'ASD9': 2, 'ACE15': 2, 'ACE18': 2, 'SUD18': 2, 'SES': 2, 'SEX': 2}",0.1569176239738192,0.0027999736704251987,0.19132615327835084,0.03189608212726476,0.44489432648472266,0.01183732235522569,0.46132118,0.020540146
