Config,Layers,test_rmse_mean,test_rmse_std,test_r2_mean,test_r2_std,test_spearman_rho_mean,test_spearman_rho_std,test_pearson_r_mean,test_pearson_r_std
Optimal (per-modality),"{'PRS': 2, 'SCZ15': 2, 'ADHD9': 4, 'ASD9': 2, 'ACE15': 2, 'ACE18': 1, 'SUD18': 1, 'SES': 1, 'SEX': 2}",0.08979766624318854,0.001546680360908391,0.21453571319580078,0.020835091340312695,0.45301728059605695,0.014993036359043335,0.47629076,0.017429832
Uniform (L=3),"{'PRS': 3, 'SCZ15': 3, 'ADHD9': 3, 'ASD9': 3, 'ACE15': 3, 'ACE18': 3, 'SUD18': 3, 'SES': 3, 'SEX': 3}",0.0904974890244092,0.000987761402960247,0.2022528052330017,0.014265219689265828,0.4442943493925756,0.014609301871614579,0.46861482,0.017561764
