modality,optimal_depth,best_rmse_mean,best_rmse_std,best_r2_mean,best_r2_std,best_spearman_mean,best_spearman_std
PRS,5,0.1524906316479755,0.0035498207354414516,0.21800680160522462,0.03241823073788577,0.45822857808011175,0.03929792965775134
SCZ15,3,0.15304820873913988,0.0029064275922800202,0.2125062108039856,0.022127351790784993,0.45511118275669427,0.03467948458333898
ADHD9,1,0.15260522469914864,0.00348398594165374,0.21708039045333863,0.02534251525134791,0.4492047972021814,0.031509579361576036
ASD9,1,0.15264132587823098,0.004224372571648909,0.2164794921875,0.03607011621593947,0.4501024037090223,0.03772946726782769
ACE15,2,0.1532018086936453,0.003747111106450666,0.2105496883392334,0.037039267453271144,0.4542011290551817,0.033058884100183525
ACE18,1,0.1525403897650383,0.0026501945365677527,0.2177374005317688,0.01979465493438711,0.4557113077557068,0.028792607961859874
SUD18,1,0.1525585643492282,0.002636321460716523,0.21755094528198243,0.019701354690479365,0.45560695759792214,0.028514794507500427
SES,1,0.1525911195747451,0.002617961170044521,0.21720566749572753,0.020023037362626995,0.4551330384754486,0.028561750982952973
SEX,3,0.15242951154641018,0.004429016734108767,0.21882874965667726,0.03352824279465167,0.4550164584022932,0.04100411508129708
