Modality,High SCZ gate (mean),High SCZ gate (std),Low SCZ gate (mean),Low SCZ gate (std),Difference,p_value
ASD9,0.50000024,0.0,0.5000002,5.9604645e-08,5.9604645e-08,1.0
SEX,0.49993995,2.9802322e-08,0.49993992,5.9604645e-08,2.9802322e-08,1.0
PRS,0.50003445,5.9604645e-08,0.50003445,5.9604645e-08,0.0,1.0
ADHD9,0.5000087,5.9604645e-08,0.5000087,5.9604645e-08,0.0,1.0
SCZ15,0.50034887,0.0,0.50034887,0.0,0.0,1.0
ACE15,0.50000423,5.9604645e-08,0.50000423,5.9604645e-08,0.0,1.0
ACE18,0.50144285,0.0,0.50144285,0.0,0.0,1.0
SUD18,0.50013435,5.9604645e-08,0.5001344,0.0,-5.9604645e-08,1.0
SES,0.50015163,0.0,0.5001517,5.9604645e-08,-5.9604645e-08,1.0
